"Player","Pos_C","Pos_F","Pos_PF","Pos_PG","Pos_SF","Pos_SF-PF","Pos_SG","Age","Tm_ATL","Tm_BOS","Tm_BRK","Tm_CHI","Tm_CHO","Tm_CLE","Tm_DAL","Tm_DEN","Tm_DET","Tm_GSW","Tm_HOU","Tm_IND","Tm_LAC","Tm_LAL","Tm_MEM","Tm_MIA","Tm_MIL","Tm_MIN","Tm_NOP","Tm_NYK","Tm_OKC","Tm_ORL","Tm_PHI","Tm_PHO","Tm_POR","Tm_SAC","Tm_SAS","Tm_TOR","Tm_TOT","Tm_UTA","Tm_WAS","G","GS","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","weight","salary"
"Enes Kanter",1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,16,25.1,4.9,8.4,0,0,4.9,8.4,0.581,1.8,2.3,4.1,7,11.1,1.1,0.5,0.8,1.2,2.5,11.5,21.9,0.611,0,0.278,16.7,31,23.5,6.7,1,2.8,11.5,18.1,2,0.7,2.7,0.184,1,-2.3,-1.3,0.1,118.8,4767000
"Luke Kennard",0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,22,3,6.5,1.6,3.6,1.4,2.9,0.585,0.4,0.5,0.3,2.6,2.9,1.8,0.3,0.2,0.9,1.6,8,10.8,0.599,0.553,0.08,1.4,12.8,7.3,11.1,0.8,0.8,12.2,15.3,0.6,0.5,1.1,0.083,-0.8,-1.5,-2.2,0,88.9,3827160
"Maxi Kleber",0,0,1,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,25.6,2.2,5.1,1.7,3.8,0.5,1.3,0.599,1,1.1,0.9,4.4,5.4,1.5,0.4,0.8,0.6,2.4,7.1,11.4,0.639,0.744,0.209,4,19,11.5,7.6,0.7,2.8,9.6,10.5,0.7,0.3,1,0.106,-0.3,-0.6,-0.8,0.1,95.7,8e+06
"Kevin Knox",0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,16.2,1.9,4.9,1.1,2.9,0.8,2,0.5,0.4,0.5,0.4,1.7,2.1,0.7,0.3,0.3,0.7,1.4,5.3,8.1,0.52,0.584,0.106,2.6,10.8,6.7,6.6,1.1,1.6,11.9,15.9,-0.1,0.4,0.3,0.043,-2,-0.4,-2.4,0,97.5,4380120
"Furkan Korkmaz",0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,19.5,2.7,7.2,1.3,4.2,1.4,3.1,0.469,0.8,0.9,0.2,2.3,2.6,0.8,0.7,0.1,0.9,1.1,7.6,8.1,0.496,0.577,0.123,1.3,12.7,7.2,5.5,1.8,0.5,11,18.5,-0.3,0.4,0.1,0.015,-3.2,-1.1,-4.3,-0.2,83.9,1620564
"Luke Kornet",0,0,1,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7.2,0.5,2.3,0.2,1.8,0.3,0.5,0.25,0.3,0.3,0,1.5,1.5,0.3,0.3,0.2,0.2,0.2,1.5,3.7,0.302,0.786,0.143,0,22.9,11.6,5.8,2.2,2.1,6.3,15.7,-0.1,0.1,-0.1,-0.075,-5.4,-0.4,-5.8,0,108.9,2250000
"Rodions Kurucs",0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,5.2,0.4,1.4,0.2,1,0.2,0.4,0.375,0.1,0.1,0.1,0.7,0.9,0.3,0.4,0.1,0.5,0.6,1.1,3.2,0.383,0.7,0.1,2.9,14.6,8.8,7,3.2,2.4,25.1,16.3,-0.2,0.1,-0.1,-0.079,-8.5,1.9,-6.6,-0.1,97.5,1699236
"Kyle Kuzma",0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,25,4.3,9.5,1.7,4.6,2.7,4.9,0.54,0.6,0.9,1.8,4.2,6,1.1,0.3,0.7,1.3,1.6,10.8,13.1,0.546,0.482,0.094,8.2,18.4,13.4,6.6,0.6,2.2,11.4,19.5,0.3,1.2,1.5,0.098,0,-0.9,-0.9,0.2,100.2,1974600
"Jeremy Lamb",0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,25.1,4.1,8.1,1.9,3.9,2.2,4.3,0.627,2.3,2.4,0.9,3.4,4.3,1.6,0.9,0.5,0.9,2.1,12.4,17.8,0.676,0.477,0.3,3.9,14.9,9.5,9.1,1.7,1.7,8.7,17.4,1,0.4,1.5,0.175,2.5,0.6,3,0.5,81.6,10500000
"Zach LaVine",0,0,0,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,35.6,10.2,19.6,3.6,8.2,6.6,11.4,0.612,4.5,5.3,0.8,4.7,5.5,5.2,1.1,0.4,3.9,2.6,28.5,22.7,0.649,0.42,0.272,2.6,14.4,8.6,24.7,1.5,1.1,14.9,30.7,2.3,0.9,3.1,0.156,4.9,-0.8,4.1,1.5,82.1,19500000
"Jake Layman",0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,15.4,2.4,4.8,0.6,1.9,1.8,2.9,0.549,0.9,1.2,0.3,1.2,1.5,0.5,0.9,0.5,0.5,1.2,6.3,13,0.583,0.402,0.25,1.7,8.9,5.2,5,2.8,2.5,8.9,16.1,0.2,0.3,0.5,0.076,-2.3,0.3,-2,0,94.8,3581986
"Jalen Lecque",0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.3,1.3,0,0.3,0.3,1,0.25,1,1,0.3,1,1.3,0.7,0,0,0,0,1.7,24.2,0.47,0.25,0.75,12.4,36.2,24.5,29.2,0,0,0,25.7,0,0,0,0.229,2.9,-0.3,2.6,0,86.2,898310
"Alex Len",1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,6,14.6,2.4,3.8,0.3,1,2.1,2.8,0.667,1,1.7,0.8,2.8,3.5,1.1,0.4,1.1,1.2,1.9,6,15.5,0.667,0.253,0.453,5.2,20.7,12.7,10.7,1.3,6.9,20.4,16.1,0.3,0.4,0.6,0.101,-1.7,1.7,0,0.2,102.1,4160000
